date,Price,Yield,us_inflation_rate,us_interest_rate
01/03/2008,119.3355,3.4918,4,2.25
01/04/2008,116.8095455,3.649909091,3.9,2
01/05/2008,115.1166667,3.872857143,4.2,2
01/06/2008,113.742381,4.083428571,5,2
01/07/2008,114.3668182,3.982909091,5.6,2
01/08/2008,115.8857143,3.885142857,5.4,2
01/09/2008,117.0690476,3.675047619,4.9,2
01/10/2008,114.2708696,3.779956522,3.7,1
01/11/2008,117.82,3.521526316,1.1,1
01/12/2008,127.0159091,2.408045455,0.1,0.25
01/01/2009,124.9015,2.48215,0,0.25
01/02/2009,122.7784211,2.850421053,0.2,0.25
01/03/2009,123.6290909,2.807454545,-0.4,0.25
01/04/2009,122.4647619,2.898238095,-0.7,0.25
01/05/2009,120.287,3.285,-1.3,0.25
01/06/2009,116.0968182,3.707409091,-1.4,0.25
01/07/2009,117.0295455,3.536409091,-2.1,0.25
01/08/2009,117.0014286,3.579190476,-1.5,0.25
01/09/2009,118.4833333,3.392666667,-1.3,0.25
01/10/2009,118.4318182,3.366454545,-0.2,0.25
01/11/2009,119.2755,3.39535,1.8,0.25
01/12/2009,118.2963636,3.581045455,2.7,0.25
01/01/2010,116.9505263,3.711052632,2.6,0.25
01/02/2010,118.0105263,3.679263158,2.1,0.25
01/03/2010,117.8365217,3.71926087,2.3,0.25
01/04/2010,116.4790909,3.819333333,2.2,0.25
01/05/2010,119.828,3.41275,2,0.25
01/06/2010,121.3068182,3.194,1.1,0.25
01/07/2010,122.6938095,2.984904762,1.2,0.25
01/08/2010,125.2940909,2.688545455,1.1,0.25
01/09/2010,125.4585714,2.637190476,1.1,0.25
01/10/2010,126.6142857,2.5142,1.2,0.25
01/11/2010,125.7557143,2.738380952,1.1,0.25
01/12/2010,121.2931818,3.280363636,1.5,0.25
01/01/2011,120.477,3.36875,1.6,0.25
01/02/2011,119.1784211,3.564684211,2.1,0.25
01/03/2011,120.3865217,3.40626087,2.7,0.25
01/04/2011,119.5985,3.4328,3.2,0.25
01/05/2011,122.6095238,3.158333333,3.6,0.25
01/06/2011,124.4977273,2.991454545,3.6,0.25
01/07/2011,124.1455,2.97795,3.6,0.25
01/08/2011,129.3582609,2.286434783,3.8,0.25
01/09/2011,130.8628571,1.963904762,3.9,0.25
01/10/2011,128.8095238,2.12747619,3.5,0.25
01/11/2011,130.4480952,2.005333333,3.4,0.25
01/12/2011,130.86,1.969380952,3,0.25
01/01/2012,130.98,1.94405,2.9,0.25
01/02/2012,131.317,1.95825,2.9,0.25
01/03/2012,129.9831818,2.161181818,2.7,0.25
01/04/2012,131.222381,2.02835,2.3,0.25
01/05/2012,133.2990909,1.79,1.7,0.25
01/06/2012,134.1766667,1.60852381,1.7,0.25
01/07/2012,134.5885714,1.499142857,1.4,0.25
01/08/2012,133.5430435,1.669173913,1.7,0.25
01/09/2012,133.5510526,1.712736842,2,0.25
01/10/2012,132.863913,1.721142857,2.2,0.25
01/11/2012,133.6495238,1.642619048,1.8,0.25
01/12/2012,133.282,1.70455,1.7,0.25
01/01/2013,131.8166667,1.89,1.6,0.25
01/02/2013,131.7515789,1.967421053,2,0.25
01/03/2013,131.9965,1.9455,1.5,0.25
01/04/2013,132.9054545,1.731181818,1.1,0.25
01/05/2013,131.9086364,1.918045455,1.4,0.25
01/06/2013,128.8635,2.28905,1.8,0.25
01/07/2013,126.3377273,2.565909091,2,0.25
01/08/2013,125.6372727,2.730454545,1.5,0.25
01/09/2013,125.1815,2.8008,1.2,0.25
01/10/2013,126.7473913,2.59973913,1,0.25
01/11/2013,126.63,2.7085,1.2,0.25
01/12/2013,124.8985714,2.892,1.5,0.25
01/01/2014,124.3142857,2.842142857,1.6,0.25
01/02/2014,125.83,2.697263158,1.1,0.25
01/03/2014,124.9990476,2.716666667,1.5,0.25
01/04/2014,123.982381,2.691285714,2,0.25
01/05/2014,125.4395455,2.551809524,2.1,0.25
01/06/2014,125.0342857,2.592571429,2.1,0.25
01/07/2014,124.9513043,2.53,2,0.25
01/08/2014,125.9809524,2.412190476,1.7,0.25
01/09/2014,124.8872727,2.528428571,1.7,0.25
01/10/2014,126.7852174,2.288304348,1.7,0.25
01/11/2014,126.6015,2.322789474,1.3,0
01/12/2014,126.9430435,2.204363636,0.8,0.25
01/01/2015,129.2195652,1.87355,-0.1,0.25
01/02/2015,128.5814286,1.969894737,0,0.25
01/03/2015,128.1559091,2.040818182,-0.1,0.25
01/04/2015,129.2240909,1.927095238,-0.2,0.25
01/05/2015,127.522,2.1918,0,0.25
01/06/2015,126.2277273,2.356909091,0.1,0.25
01/07/2015,126.4552174,2.315272727,0.2,0.25
01/08/2015,127.7566667,2.161761905,0.2,0.25
01/09/2015,127.9869565,2.168190476,0,0.25
01/10/2015,128.7190909,2.059181818,0.2,0.25
01/11/2015,126.7047619,2.26485,0.5,0.25
01/12/2015,126.65,2.238681818,0.7,0.5
01/01/2016,128.0638095,2.075210526,1.4,0.5
01/02/2016,130.8177273,1.777,1,0.5
01/03/2016,129.4977273,1.886090909,0.9,0.5
01/04/2016,130.2771429,1.799142857,1.1,0.5
01/05/2016,130.14,1.802619048,1,0.5
01/06/2016,131.5854545,1.640136364,1,0.5
01/07/2016,132.7445455,1.49895,0.8,0.5
01/08/2016,132.23,1.554608696,1.1,0.5
01/09/2016,131.4086957,1.629190476,1.5,0.5
01/10/2016,130.0719048,1.75775,1.6,0.5
01/11/2016,127.135,2.1383,1.7,0.5
01/12/2016,124.2336364,2.486571429,2.1,0.75
01/01/2017,124.4873913,2.4258,2.5,0.75
01/02/2017,124.75,2.418421053,2.7,0.75
01/03/2017,124.2530435,2.479043478,2.4,1
01/04/2017,125.57,2.292631579,2.2,1
01/05/2017,125.7208333,2.302454545,1.9,1
01/06/2017,126.6222727,2.185136364,1.6,1.25
01/07/2017,125.6157143,2.31305,1.7,1.25
01/08/2017,126.5995652,2.207913043,0,1.25
01/09/2017,126.5440909,2.20145,2.2,1.25
01/10/2017,125.0868182,2.357863636,2,0
01/11/2017,124.9531818,2.354095238,2.2,1.25
01/12/2017,124.2119048,2.403,2.1,1.5
01/01/2018,122.78125,2.582904762,2.1,1.5
01/02/2018,120.75,2.860526316,2.2,1.5
01/03/2018,120.7914286,2.843285714,2.4,1.75
01/04/2018,120.2242857,2.866095238,2.5,1.75
01/05/2018,119.4858333,2.978090909,2.8,1.75
01/06/2018,119.9361905,2.913285714,2.9,2
01/07/2018,119.9577273,2.890333333,2.9,2
01/08/2018,120.053913,2.889130435,2.7,2
01/09/2018,119.3452381,3.004736842,2.3,2.25
01/10/2018,118.2721739,3.155869565,2.5,2.25
01/11/2018,118.7895455,3.118619048,2.2,2.25
01/12/2018,120.8057143,2.833526316,1.9,2.5
01/01/2019,121.8029167,2.707285714,1.6,2.5
01/02/2019,122.0280952,2.675578947,1.5,2.5
01/03/2019,122.9409524,2.570857143,1.9,2.5
01/04/2019,123.3827273,2.53,2,2.5
01/05/2019,124.5183333,2.393863636,1.8,2.5
01/06/2019,127.162,2.0719,1.6,2.5
01/07/2019,127.4773913,2.054818182,1.8,2.25
01/08/2019,130.3527273,1.623727273,1.7,2.25
01/09/2019,130.0263636,1.69345,1.7,2
01/10/2019,130.3182609,1.704304348,1.8,1.75
01/11/2019,129.2233333,1.819631579,2.1,1.75
